Model,MSE,R2 Score
Linear Regression,0.5498323362145443,0.45657770834046507
Random Forest,0.2120075878389611,0.79046403486225
Neural Network,0.5752939657005334,0.4314129151238232
XGBoost,0.20453369919931472,0.7978507915599864
SVR,1.0082331501312953,0.0035210137992475188
